,name,salary,employer,info,site
0,Python разработчик,"{'a_min_salary': 150000, 'b_max_salary': 250000, 'x_currency': 'руб'}",Пикта. Карьера в Пикта,https://hh.ru/vacancy/49633945?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=0
1,Web-программист Python (Middle/Senior),"{'a_min_salary': 200000, 'b_max_salary': None, 'x_currency': 'руб'}",Сионик,https://hh.ru/vacancy/47228261?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=0
2,Middle Python Developer,,ООО Ара Софт Групп,https://hh.ru/vacancy/49687769?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=0
3,Python developer,,Oxagile,https://hh.ru/vacancy/49223543?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=0
4,Team lead / Python Backend,"{'a_min_salary': 35000000, 'b_max_salary': None, 'x_currency': 'сум'}",ООО Payment Aggregation Systems,https://hh.ru/vacancy/49525532?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=0
5,Стажёр-разработчик автоматизированных тестов,,a1qa,https://hh.ru/vacancy/49568668?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=0
6,Senior Python Developer,,УП Руна Системс,https://hh.ru/vacancy/48881114?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=0
7,Junior Data Engineer (Python),"{'a_min_salary': 150000, 'b_max_salary': 190000, 'x_currency': 'руб'}",DataFork,https://hh.ru/vacancy/47914759?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=0
8,Программист Python,"{'a_min_salary': 60000, 'b_max_salary': 200000, 'x_currency': 'руб'}",ООО Артистраж,https://hh.ru/vacancy/49592394?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=0
9,Python Back-end Developer (Junior),"{'a_min_salary': 150000, 'b_max_salary': 200000, 'x_currency': 'руб'}",Правое Полушарие Интроверта,https://hh.ru/vacancy/47028075?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=0
10,Junior backend-разработчик (python),"{'a_min_salary': 80000, 'b_max_salary': None, 'x_currency': 'руб'}",ООО ТП Лаб,https://hh.ru/vacancy/49217698?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=0
11,Разработчик Python Django (REST),"{'a_min_salary': 120000, 'b_max_salary': 200000, 'x_currency': 'руб'}",Remanga.org,https://hh.ru/vacancy/49622179?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=0
12,Junior Python разработчик,,ANABAR,https://hh.ru/vacancy/48969346?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=0
13,Разработчик Python Django (REST),"{'a_min_salary': 130000, 'b_max_salary': 200000, 'x_currency': 'руб'}",Remanga.org,https://hh.ru/vacancy/49622180?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=0
14,Python разработчик,"{'a_min_salary': None, 'b_max_salary': 380000, 'x_currency': 'руб'}",Точка,https://hh.ru/vacancy/49590587?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=0
15,Разработчик Python/Django junior+/middle-,,ООО БСТ Менеджмент-Консалтинг,https://hh.ru/vacancy/49541136?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=0
16,Младший Python разработчик / Junior Python Developer (Back-end),,Доктор Веб,https://hh.ru/vacancy/46797297?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=0
17,Python Developer,"{'a_min_salary': 150000, 'b_max_salary': 350000, 'x_currency': 'руб'}",ООО АСД Технолоджиз,https://hh.ru/vacancy/49478393?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=0
18,Python Developer,"{'a_min_salary': 150000, 'b_max_salary': 350000, 'x_currency': 'руб'}",ООО АСД Технолоджиз,https://hh.ru/vacancy/49478394?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=0
